Name,Age,Gender,Region,Education,Profession,Political_Leaning,Civil_Bias,Criminal_Bias,Fairness_Score,Questionnaire,Prosecution_Bias,Defense_Bias,Neutral_Bias
Harish Pingle,55,Male,Mumbai,High School,Engineer,9.5,0.16,0.41,0.78,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? Cultural traditions have shaped how I view responsibility. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I come from a middle-class family and it taught me fairness. | How comfortable are you making decisions that affect others? I try to remain unbiased despite personal life experiences. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.86,0.24,0.42
Sathvik Gala,28,Male,Hyderabad,Graduate,Business,5.1,0.72,0.45,0.43,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? I come from a middle-class family and it taught me fairness. | What is your opinion on civil lawsuits? My socio-economic background has made me sensitive to inequality. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I come from a middle-class family and it taught me fairness. | Do you think age or background influences judgment? I try to remain unbiased despite personal life experiences. | What factors would you consider most important when deciding a case? Cultural traditions have shaped how I view responsibility. | Can you briefly describe your family background? My socio-economic background has made me sensitive to inequality. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I am neutral on this matter. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.46,0.39,0.27
Yauvani Wable,28,Female,Delhi,Postgraduate,Student,5.4,0.33,0.99,0.49,Do you believe everyone deserves a fair trial? I strongly agree with this statement. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? My socio-economic background has made me sensitive to inequality. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I have experienced challenges that make me more empathetic. | What factors would you consider most important when deciding a case? Cultural traditions have shaped how I view responsibility. | Can you briefly describe your family background? I strongly agree with this statement. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? I have experienced challenges that make me more empathetic. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? Cultural traditions have shaped how I view responsibility.,0.19,0.56,0.04
Rohan Wali,44,Female,Other,Postgraduate,Other,6.7,0.58,0.7,0.16,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I strongly disagree and have opposite experiences. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? My socio-economic background has made me sensitive to inequality. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? I strongly disagree and have opposite experiences. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly disagree and have opposite experiences. | Do you think socio-economic factors affect how you view cases? I am neutral on this matter. | Are there any life experiences that could impact your decisions as a juror? I somewhat agree but with some reservations.,0.95,0.27,0.18
Fariq Yadav,46,Male,Hyderabad,Graduate,Lawyer,4.5,0.04,0.28,0.07,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I somewhat disagree with this viewpoint. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? I strongly disagree and have opposite experiences. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? My upbringing emphasized honesty and justice. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? My upbringing emphasized honesty and justice. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? My socio-economic background has made me sensitive to inequality.,0.43,0.6,0.54
Faraj Manne,41,Female,Chennai,Postgraduate,Teacher,2.1,0.58,0.03,0.26,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I have experienced challenges that make me more empathetic. | What is your opinion on civil lawsuits? I somewhat agree but with some reservations. | Do you trust the legal system to be impartial? I am neutral on this matter. | How comfortable are you making decisions that affect others? I somewhat agree but with some reservations. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I somewhat agree but with some reservations. | Have any personal experiences made you more empathetic or critical in decision-making? My socio-economic background has made me sensitive to inequality. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.77,0.93,0.42
Rehaan Tandon,57,Male,Kolkata,Postgraduate,Student,8.8,0.67,0.55,0.58,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? I somewhat agree but with some reservations. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.43,0.89,0.79
Peter Vohra,36,Female,Delhi,Graduate,Engineer,7.3,0.94,0.89,0.12,Do you believe everyone deserves a fair trial? My upbringing emphasized honesty and justice. | Have you ever been involved in a legal dispute? I somewhat disagree with this viewpoint. | How do you feel about strict punishments for crimes? I somewhat disagree with this viewpoint. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? Cultural traditions have shaped how I view responsibility. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I strongly agree with this statement. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.81,0.72,0.28
Jalsa Doshi,45,Female,Bangalore,Graduate,Engineer,0.6,0.5,0.68,0.34,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? My socio-economic background has made me sensitive to inequality. | How do you feel about strict punishments for crimes? My socio-economic background has made me sensitive to inequality. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? I have experienced challenges that make me more empathetic. | Do you trust the legal system to be impartial? Cultural traditions have shaped how I view responsibility. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? I come from a middle-class family and it taught me fairness. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I have experienced challenges that make me more empathetic. | Have your early life experiences shaped your perspective on justice? I somewhat agree but with some reservations. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I strongly disagree and have opposite experiences. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.54,0.83,0.32
Yashawini Kar,48,Male,Bangalore,High School,Teacher,7.0,0.1,0.34,0.19,Do you believe everyone deserves a fair trial? I come from a middle-class family and it taught me fairness. | Have you ever been involved in a legal dispute? I come from a middle-class family and it taught me fairness. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I try to remain unbiased despite personal life experiences. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I try to remain unbiased despite personal life experiences. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I have experienced challenges that make me more empathetic. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? Cultural traditions have shaped how I view responsibility. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.91,0.63,0.29
