Name,Age,Political_Leaning,Civil_Bias,Criminal_Bias,Fairness_Score,Questionnaire,Prosecution_Bias,Defense_Bias,Neutral_Bias,Juror_ID,Gender_Female,Gender_Male,Region_Bangalore,Region_Chennai,Region_Delhi,Region_Hyderabad,Region_Kolkata,Region_Mumbai,Region_Other,Education_Graduate,Education_High School,Education_Postgraduate,Profession_Business,Profession_Engineer,Profession_Lawyer,Profession_Other,Profession_Student,Profession_Teacher,Questionnaire_clean,Predicted_Prosecution_Bias,Predicted_Defense_Bias,Predicted_Neutral_Bias,Overall_Fairness,Fairness_Distance,Cluster,PCA1,PCA2
Eiravati Mukherjee,49,5.4,0.48,0.8,0.93,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I am neutral on this matter. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? My upbringing emphasized honesty and justice. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I have experienced challenges that make me more empathetic. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I strongly disagree and have opposite experiences. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I have experienced challenges that make me more empathetic. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.27,0.66,0.96,1408,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,believe everyone deserves fair trial strongly disagree opposite experiences ever involved legal dispute cultural traditions shaped view responsibility feel strict punishments crimes neutral matter think personal experiences could affect judgment neutral matter opinion civil lawsuits upbringing emphasized honesty justice trust legal system impartial somewhat agree reservations comfortable making decisions affect others somewhat disagree viewpoint training work law enforcement experienced challenges make empathetic think age background influences judgment somewhat disagree viewpoint factors would consider important deciding case somewhat disagree viewpoint briefly describe family background somewhat disagree viewpoint early life experiences shaped perspective justice strongly disagree opposite experiences think cultural background influences judgment neutral matter personal experiences made empathetic critical decision making experienced challenges make empathetic think socio economic factors affect view cases experienced challenges make empathetic life experiences could impact decisions juror somewhat disagree viewpoint,0.4953779825730063,0.5282560634462318,0.48818297699038093,0.5000074363796111,7.436379611092114e-06,1,0.04788402871115728,6.0829615953873454e-05
Ekani Mangat,32,7.1,0.83,0.66,0.2,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I somewhat agree but with some reservations. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? My upbringing emphasized honesty and justice. | How comfortable are you making decisions that affect others? My upbringing emphasized honesty and justice. | Have you had any training or work in law enforcement? I try to remain unbiased despite personal life experiences. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I try to remain unbiased despite personal life experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? My socio-economic background has made me sensitive to inequality. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I strongly agree with this statement.,0.54,0.94,0.41,1580,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,believe everyone deserves fair trial somewhat agree reservations ever involved legal dispute somewhat agree reservations feel strict punishments crimes strongly agree statement think personal experiences could affect judgment somewhat agree reservations opinion civil lawsuits strongly agree statement trust legal system impartial upbringing emphasized honesty justice comfortable making decisions affect others upbringing emphasized honesty justice training work law enforcement try remain unbiased despite personal life experiences think age background influences judgment cultural traditions shaped view responsibility factors would consider important deciding case try remain unbiased despite personal life experiences briefly describe family background try remain unbiased despite personal life experiences early life experiences shaped perspective justice somewhat disagree viewpoint think cultural background influences judgment socio economic background made sensitive inequality personal experiences made empathetic critical decision making upbringing emphasized honesty justice think socio economic factors affect view cases come middle class family taught fairness life experiences could impact decisions juror strongly agree statement,0.5261942632445068,0.4987948614134514,0.48750543767102084,0.4999887091632747,1.1290836725297293e-05,0,0.006298995544284713,-9.40700684903723e-06
Dalbir Rai,36,8.8,0.65,0.66,0.49,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I somewhat agree but with some reservations. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I try to remain unbiased despite personal life experiences. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? I somewhat disagree with this viewpoint. | Have you had any training or work in law enforcement? I am neutral on this matter. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I somewhat disagree with this viewpoint. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I come from a middle-class family and it taught me fairness. | Have any personal experiences made you more empathetic or critical in decision-making? I come from a middle-class family and it taught me fairness. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? My upbringing emphasized honesty and justice.,0.59,0.74,0.95,442,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,believe everyone deserves fair trial cultural traditions shaped view responsibility ever involved legal dispute strongly agree statement feel strict punishments crimes somewhat agree reservations think personal experiences could affect judgment neutral matter opinion civil lawsuits try remain unbiased despite personal life experiences trust legal system impartial experienced challenges make empathetic comfortable making decisions affect others somewhat disagree viewpoint training work law enforcement neutral matter think age background influences judgment cultural traditions shaped view responsibility factors would consider important deciding case somewhat disagree viewpoint briefly describe family background come middle class family taught fairness early life experiences shaped perspective justice somewhat disagree viewpoint think cultural background influences judgment come middle class family taught fairness personal experiences made empathetic critical decision making come middle class family taught fairness think socio economic factors affect view cases upbringing emphasized honesty justice life experiences could impact decisions juror upbringing emphasized honesty justice,0.5694107338974014,0.45784510997271155,0.48637207806494354,0.5000235078363092,2.3507836309222263e-05,2,-0.0517602065636942,0.0002092101938171704
Ryan Toor,25,0.0,0.26,0.99,0.13,Do you believe everyone deserves a fair trial? I somewhat disagree with this viewpoint. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I strongly agree with this statement. | What is your opinion on civil lawsuits? I come from a middle-class family and it taught me fairness. | Do you trust the legal system to be impartial? I have experienced challenges that make me more empathetic. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I am neutral on this matter. | What factors would you consider most important when deciding a case? My upbringing emphasized honesty and justice. | Can you briefly describe your family background? I somewhat disagree with this viewpoint. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? My socio-economic background has made me sensitive to inequality. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I come from a middle-class family and it taught me fairness.,0.73,0.82,0.41,418,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,believe everyone deserves fair trial somewhat disagree viewpoint ever involved legal dispute upbringing emphasized honesty justice feel strict punishments crimes try remain unbiased despite personal life experiences think personal experiences could affect judgment strongly agree statement opinion civil lawsuits come middle class family taught fairness trust legal system impartial experienced challenges make empathetic comfortable making decisions affect others cultural traditions shaped view responsibility training work law enforcement socio economic background made sensitive inequality think age background influences judgment neutral matter factors would consider important deciding case upbringing emphasized honesty justice briefly describe family background somewhat disagree viewpoint early life experiences shaped perspective justice somewhat disagree viewpoint think cultural background influences judgment try remain unbiased despite personal life experiences personal experiences made empathetic critical decision making socio economic background made sensitive inequality think socio economic factors affect view cases upbringing emphasized honesty justice life experiences could impact decisions juror come middle class family taught fairness,0.5609375156127446,0.46562180135797926,0.48672034151463806,0.49997466778390837,2.5332216091633608e-05,2,-0.04055526093447895,-5.1864908791869846e-05
Saumya Sur,63,6.2,0.42,0.33,0.25,Do you believe everyone deserves a fair trial? My socio-economic background has made me sensitive to inequality. | Have you ever been involved in a legal dispute? I try to remain unbiased despite personal life experiences. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? I am neutral on this matter. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly agree with this statement. | How comfortable are you making decisions that affect others? I have experienced challenges that make me more empathetic. | Have you had any training or work in law enforcement? I somewhat disagree with this viewpoint. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? I strongly disagree and have opposite experiences. | Can you briefly describe your family background? I try to remain unbiased despite personal life experiences. | Have your early life experiences shaped your perspective on justice? I strongly agree with this statement. | Do you think your cultural background influences your judgment? Cultural traditions have shaped how I view responsibility. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I somewhat agree but with some reservations. | Are there any life experiences that could impact your decisions as a juror? I somewhat disagree with this viewpoint.,0.74,0.12,0.09,1794,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,believe everyone deserves fair trial socio economic background made sensitive inequality ever involved legal dispute try remain unbiased despite personal life experiences feel strict punishments crimes try remain unbiased despite personal life experiences think personal experiences could affect judgment neutral matter opinion civil lawsuits strongly agree statement trust legal system impartial strongly agree statement comfortable making decisions affect others experienced challenges make empathetic training work law enforcement somewhat disagree viewpoint think age background influences judgment socio economic background made sensitive inequality factors would consider important deciding case strongly disagree opposite experiences briefly describe family background try remain unbiased despite personal life experiences early life experiences shaped perspective justice strongly agree statement think cultural background influences judgment cultural traditions shaped view responsibility personal experiences made empathetic critical decision making upbringing emphasized honesty justice think socio economic factors affect view cases somewhat agree reservations life experiences could impact decisions juror somewhat disagree viewpoint,0.5384897454716501,0.48732239519724957,0.4870939296655502,0.5000282953061527,2.8295306152670285e-05,0,-0.010093334166292104,0.00020696047442914897
Ekanta Kothari,37,7.6,0.15,0.4,0.54,Do you believe everyone deserves a fair trial? I am neutral on this matter. | Have you ever been involved in a legal dispute? I have experienced challenges that make me more empathetic. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? I somewhat disagree with this viewpoint. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? My socio-economic background has made me sensitive to inequality. | How comfortable are you making decisions that affect others? I am neutral on this matter. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? I somewhat disagree with this viewpoint. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? Cultural traditions have shaped how I view responsibility. | Have your early life experiences shaped your perspective on justice? I somewhat disagree with this viewpoint. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly disagree and have opposite experiences. | Do you think socio-economic factors affect how you view cases? Cultural traditions have shaped how I view responsibility. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.51,0.01,0.03,165,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,believe everyone deserves fair trial neutral matter ever involved legal dispute experienced challenges make empathetic feel strict punishments crimes come middle class family taught fairness think personal experiences could affect judgment somewhat disagree viewpoint opinion civil lawsuits neutral matter trust legal system impartial socio economic background made sensitive inequality comfortable making decisions affect others neutral matter training work law enforcement strongly disagree opposite experiences think age background influences judgment somewhat disagree viewpoint factors would consider important deciding case neutral matter briefly describe family background cultural traditions shaped view responsibility early life experiences shaped perspective justice somewhat disagree viewpoint think cultural background influences judgment strongly agree statement personal experiences made empathetic critical decision making strongly disagree opposite experiences think socio economic factors affect view cases cultural traditions shaped view responsibility life experiences could impact decisions juror strongly disagree opposite experiences,0.5248262711544706,0.4999183703084481,0.48762767926854067,0.4999588190441811,4.1180955818898024e-05,0,0.00801458861994104,-0.00016583754733834745
Veer Dube,40,8.8,0.85,0.42,0.84,Do you believe everyone deserves a fair trial? I strongly disagree and have opposite experiences. | Have you ever been involved in a legal dispute? My upbringing emphasized honesty and justice. | How do you feel about strict punishments for crimes? I try to remain unbiased despite personal life experiences. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? I strongly disagree and have opposite experiences. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I have experienced challenges that make me more empathetic. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? My socio-economic background has made me sensitive to inequality. | Do you think your cultural background influences your judgment? I have experienced challenges that make me more empathetic. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? I come from a middle-class family and it taught me fairness. | Are there any life experiences that could impact your decisions as a juror? I somewhat agree but with some reservations.,0.96,0.82,0.95,92,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,believe everyone deserves fair trial strongly disagree opposite experiences ever involved legal dispute upbringing emphasized honesty justice feel strict punishments crimes try remain unbiased despite personal life experiences think personal experiences could affect judgment socio economic background made sensitive inequality opinion civil lawsuits strongly agree statement trust legal system impartial strongly disagree opposite experiences comfortable making decisions affect others strongly agree statement training work law enforcement strongly disagree opposite experiences think age background influences judgment cultural traditions shaped view responsibility factors would consider important deciding case experienced challenges make empathetic briefly describe family background strongly disagree opposite experiences early life experiences shaped perspective justice socio economic background made sensitive inequality think cultural background influences judgment experienced challenges make empathetic personal experiences made empathetic critical decision making upbringing emphasized honesty justice think socio economic factors affect view cases come middle class family taught fairness life experiences could impact decisions juror somewhat agree reservations,0.495252626474948,0.5280581532380159,0.48834461014351804,0.4999545535515659,4.5446448434127706e-05,1,0.047828325367109764,-0.00021392141311263985
Manan Gupta,65,5.4,0.11,0.26,0.04,Do you believe everyone deserves a fair trial? I try to remain unbiased despite personal life experiences. | Have you ever been involved in a legal dispute? I come from a middle-class family and it taught me fairness. | How do you feel about strict punishments for crimes? Cultural traditions have shaped how I view responsibility. | Do you think your personal experiences could affect your judgment? My upbringing emphasized honesty and justice. | What is your opinion on civil lawsuits? I strongly agree with this statement. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? I strongly agree with this statement. | Have you had any training or work in law enforcement? My socio-economic background has made me sensitive to inequality. | Do you think age or background influences judgment? I strongly agree with this statement. | What factors would you consider most important when deciding a case? I come from a middle-class family and it taught me fairness. | Can you briefly describe your family background? I strongly disagree and have opposite experiences. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I am neutral on this matter. | Have any personal experiences made you more empathetic or critical in decision-making? I try to remain unbiased despite personal life experiences. | Do you think socio-economic factors affect how you view cases? I somewhat disagree with this viewpoint. | Are there any life experiences that could impact your decisions as a juror? I have experienced challenges that make me more empathetic.,0.38,0.58,0.59,1943,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,believe everyone deserves fair trial try remain unbiased despite personal life experiences ever involved legal dispute come middle class family taught fairness feel strict punishments crimes cultural traditions shaped view responsibility think personal experiences could affect judgment upbringing emphasized honesty justice opinion civil lawsuits strongly agree statement trust legal system impartial strongly disagree opposite experiences comfortable making decisions affect others strongly agree statement training work law enforcement socio economic background made sensitive inequality think age background influences judgment strongly agree statement factors would consider important deciding case come middle class family taught fairness briefly describe family background strongly disagree opposite experiences early life experiences shaped perspective justice upbringing emphasized honesty justice think cultural background influences judgment neutral matter personal experiences made empathetic critical decision making try remain unbiased despite personal life experiences think socio economic factors affect view cases somewhat disagree viewpoint life experiences could impact decisions juror experienced challenges make empathetic,0.5544457894600133,0.47167255469268926,0.4869408279236487,0.49995269395037095,4.730604962904783e-05,2,-0.03190505259242008,-0.0001716758174501435
Veda Patil,54,3.2,0.43,0.06,0.31,Do you believe everyone deserves a fair trial? I somewhat agree but with some reservations. | Have you ever been involved in a legal dispute? I strongly agree with this statement. | How do you feel about strict punishments for crimes? I come from a middle-class family and it taught me fairness. | Do you think your personal experiences could affect your judgment? My socio-economic background has made me sensitive to inequality. | What is your opinion on civil lawsuits? I strongly disagree and have opposite experiences. | Do you trust the legal system to be impartial? I somewhat agree but with some reservations. | How comfortable are you making decisions that affect others? I strongly disagree and have opposite experiences. | Have you had any training or work in law enforcement? Cultural traditions have shaped how I view responsibility. | Do you think age or background influences judgment? Cultural traditions have shaped how I view responsibility. | What factors would you consider most important when deciding a case? I somewhat agree but with some reservations. | Can you briefly describe your family background? I somewhat agree but with some reservations. | Have your early life experiences shaped your perspective on justice? I come from a middle-class family and it taught me fairness. | Do you think your cultural background influences your judgment? I strongly agree with this statement. | Have any personal experiences made you more empathetic or critical in decision-making? My socio-economic background has made me sensitive to inequality. | Do you think socio-economic factors affect how you view cases? I have experienced challenges that make me more empathetic. | Are there any life experiences that could impact your decisions as a juror? I strongly disagree and have opposite experiences.,0.1,0.79,0.71,397,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,believe everyone deserves fair trial somewhat agree reservations ever involved legal dispute strongly agree statement feel strict punishments crimes come middle class family taught fairness think personal experiences could affect judgment socio economic background made sensitive inequality opinion civil lawsuits strongly disagree opposite experiences trust legal system impartial somewhat agree reservations comfortable making decisions affect others strongly disagree opposite experiences training work law enforcement cultural traditions shaped view responsibility think age background influences judgment cultural traditions shaped view responsibility factors would consider important deciding case somewhat agree reservations briefly describe family background somewhat agree reservations early life experiences shaped perspective justice come middle class family taught fairness think cultural background influences judgment strongly agree statement personal experiences made empathetic critical decision making socio economic background made sensitive inequality think socio economic factors affect view cases experienced challenges make empathetic life experiences could impact decisions juror strongly disagree opposite experiences,0.5357620889490871,0.48936199274270886,0.48743795915410204,0.4999352668776081,6.473312239191342e-05,0,-0.006814536853131467,-0.00027856409919550237
Jacob Gera,49,7.9,0.84,0.84,0.19,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? Cultural traditions have shaped how I view responsibility. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I somewhat disagree with this viewpoint. | Do you trust the legal system to be impartial? My upbringing emphasized honesty and justice. | How comfortable are you making decisions that affect others? My upbringing emphasized honesty and justice. | Have you had any training or work in law enforcement? My upbringing emphasized honesty and justice. | Do you think age or background influences judgment? I somewhat agree but with some reservations. | What factors would you consider most important when deciding a case? I am neutral on this matter. | Can you briefly describe your family background? I am neutral on this matter. | Have your early life experiences shaped your perspective on justice? I try to remain unbiased despite personal life experiences. | Do you think your cultural background influences your judgment? I somewhat disagree with this viewpoint. | Have any personal experiences made you more empathetic or critical in decision-making? I strongly agree with this statement. | Do you think socio-economic factors affect how you view cases? My upbringing emphasized honesty and justice. | Are there any life experiences that could impact your decisions as a juror? I try to remain unbiased despite personal life experiences.,0.14,0.5,0.99,1070,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,believe everyone deserves fair trial cultural traditions shaped view responsibility ever involved legal dispute cultural traditions shaped view responsibility feel strict punishments crimes strongly agree statement think personal experiences could affect judgment somewhat agree reservations opinion civil lawsuits somewhat disagree viewpoint trust legal system impartial upbringing emphasized honesty justice comfortable making decisions affect others upbringing emphasized honesty justice training work law enforcement upbringing emphasized honesty justice think age background influences judgment somewhat agree reservations factors would consider important deciding case neutral matter briefly describe family background neutral matter early life experiences shaped perspective justice try remain unbiased despite personal life experiences think cultural background influences judgment somewhat disagree viewpoint personal experiences made empathetic critical decision making strongly agree statement think socio economic factors affect view cases upbringing emphasized honesty justice life experiences could impact decisions juror try remain unbiased despite personal life experiences,0.5081598907826049,0.5164754640658434,0.4876823225757758,0.5000728774685302,7.287746853024135e-05,1,0.03094632723297779,0.0004118984165026798
Odika Chandran,52,7.2,0.01,0.76,0.11,Do you believe everyone deserves a fair trial? Cultural traditions have shaped how I view responsibility. | Have you ever been involved in a legal dispute? I strongly disagree and have opposite experiences. | How do you feel about strict punishments for crimes? I strongly agree with this statement. | Do you think your personal experiences could affect your judgment? I somewhat agree but with some reservations. | What is your opinion on civil lawsuits? I am neutral on this matter. | Do you trust the legal system to be impartial? I strongly disagree and have opposite experiences. | How comfortable are you making decisions that affect others? Cultural traditions have shaped how I view responsibility. | Have you had any training or work in law enforcement? I somewhat disagree with this viewpoint. | Do you think age or background influences judgment? My socio-economic background has made me sensitive to inequality. | What factors would you consider most important when deciding a case? My upbringing emphasized honesty and justice. | Can you briefly describe your family background? I come from a middle-class family and it taught me fairness. | Have your early life experiences shaped your perspective on justice? My upbringing emphasized honesty and justice. | Do you think your cultural background influences your judgment? I try to remain unbiased despite personal life experiences. | Have any personal experiences made you more empathetic or critical in decision-making? My upbringing emphasized honesty and justice. | Do you think socio-economic factors affect how you view cases? My socio-economic background has made me sensitive to inequality. | Are there any life experiences that could impact your decisions as a juror? I somewhat agree but with some reservations.,0.08,0.09,0.84,779,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,believe everyone deserves fair trial cultural traditions shaped view responsibility ever involved legal dispute strongly disagree opposite experiences feel strict punishments crimes strongly agree statement think personal experiences could affect judgment somewhat agree reservations opinion civil lawsuits neutral matter trust legal system impartial strongly disagree opposite experiences comfortable making decisions affect others cultural traditions shaped view responsibility training work law enforcement somewhat disagree viewpoint think age background influences judgment socio economic background made sensitive inequality factors would consider important deciding case upbringing emphasized honesty justice briefly describe family background come middle class family taught fairness early life experiences shaped perspective justice upbringing emphasized honesty justice think cultural background influences judgment try remain unbiased despite personal life experiences personal experiences made empathetic critical decision making upbringing emphasized honesty justice think socio economic factors affect view cases socio economic background made sensitive inequality life experiences could impact decisions juror somewhat agree reservations,0.531564473631504,0.494273326743525,0.4870810998124855,0.5000875343987627,8.753439876274527e-05,0,-0.000514364321652796,0.0005085397518196853
